Year,Month,Day,APCode,Snow,Prcp
2008,12,3,ABQ,0.0,0.0
2008,12,3,DEN,0.0,0.0
2008,12,3,ELP,0.0,0.0
2008,12,3,HOU,0.0,20.0
2008,12,3,LAS,0.0,0.0
2008,12,3,LAX,0.0,0.0
2008,12,3,LBB,0.0,0.0
2008,12,3,MAF,0.0,0.0
2008,12,3,MCI,0.0,0.0
2008,12,3,MCO,0.0,0.0
2008,12,3,MDW,15.0,8.0
2008,12,3,OAK,0.0,0.0
2008,12,3,PDX,0.0,0.0
2008,12,3,PHX,0.0,0.0
2008,12,3,SAN,0.0,0.0
2008,12,3,SEA,0.0,0.0
2008,12,3,SLC,0.0,0.0
2008,12,3,STL,5.0,18.0
2008,12,3,TPA,0.0,0.0
2008,12,3,TUS,0.0,0.0
2008,12,3,ALB,0.0,0.0
2008,12,3,BWI,0.0,0.0
2008,12,3,FLL,0.0,0.0
2008,12,3,AMA,0.0,0.0
2008,12,3,DAL,0.0,0.0
2008,12,3,AUS,0.0,0.0
2008,12,3,BNA,0.0,8.0
2008,12,3,HRL,0.0,0.0
2008,12,3,PHL,0.0,0.0
2008,12,3,BDL,0.0,0.0
2008,12,3,BHM,0.0,0.0
2008,12,3,JAX,0.0,0.0
2008,12,3,MSY,0.0,0.0
2008,12,3,SDF,0.0,61.0
2008,12,3,CLE,0.0,5.0
2008,12,3,CMH,0.0,3.0
2008,12,3,DTW,0.0,0.0
2008,12,3,ONT,0.0,0.0
2008,12,3,ORF,0.0,0.0
2008,12,3,PVD,0.0,0.0
2008,12,3,RDU,0.0,0.0
2008,12,3,SAT,0.0,0.0
2008,12,3,BOI,0.0,0.0
2008,12,3,GEG,0.0,0.0
2008,12,3,RNO,0.0,0.0
2008,12,3,BUF,0.0,0.0
2008,12,3,BUR,0.0,0.0
2008,12,3,SJC,0.0,0.0
2008,12,3,SMF,0.0,0.0
2008,12,3,IND,3.0,36.0
2008,12,3,ISP,0.0,0.0
2008,12,3,JAN,0.0,0.0
2008,12,3,LIT,0.0,198.0
2008,12,3,MHT,0.0,0.0
2008,12,3,OKC,0.0,0.0
2008,12,3,PBI,0.0,0.0
2008,12,3,PIT,0.0,0.0
2008,12,3,RSW,0.0,0.0
2008,12,3,CRP,0.0,0.0
2008,12,3,TUL,0.0,0.0
2008,12,3,OMA,0.0,0.0
2008,12,3,SFO,0.0,0.0
2008,12,3,SNA,0.0,0.0
2008,12,3,IAD,0.0,0.0
2008,12,4,ABQ,0.0,0.0
2008,12,4,AMA,0.0,0.0
2008,12,4,BWI,0.0,8.0
2008,12,4,DAL,0.0,0.0
2008,12,4,DEN,91.0,18.0
2008,12,4,ELP,0.0,0.0
2008,12,4,HOU,0.0,0.0
2008,12,4,LAS,0.0,0.0
2008,12,4,LAX,0.0,0.0
2008,12,4,LBB,0.0,0.0
2008,12,4,MAF,0.0,0.0
2008,12,4,MCI,0.0,0.0
2008,12,4,MCO,0.0,0.0
2008,12,4,MDW,0.0,0.0
2008,12,4,OAK,0.0,0.0
2008,12,4,PDX,0.0,0.0
2008,12,4,PHX,0.0,0.0
2008,12,4,SAN,0.0,0.0
2008,12,4,SEA,0.0,0.0
2008,12,4,SLC,0.0,3.0
2008,12,4,STL,0.0,0.0
2008,12,4,TPA,0.0,0.0
2008,12,4,TUS,0.0,0.0
2008,12,4,ALB,0.0,25.0
2008,12,4,FLL,0.0,0.0
2008,12,4,AUS,0.0,0.0
2008,12,4,BNA,0.0,119.0
2008,12,4,HRL,0.0,0.0
2008,12,4,PHL,0.0,5.0
2008,12,4,BDL,0.0,0.0
2008,12,4,BHM,0.0,185.0
2008,12,4,JAX,0.0,0.0
2008,12,4,MSY,0.0,25.0
2008,12,4,SDF,0.0,25.0
2008,12,4,CLE,0.0,10.0
2008,12,4,CMH,0.0,3.0
2008,12,4,DTW,0.0,0.0
2008,12,4,ONT,0.0,0.0
2008,12,4,ORF,0.0,0.0
2008,12,4,PVD,0.0,0.0
2008,12,4,RDU,0.0,0.0
2008,12,4,SAT,0.0,0.0
2008,12,4,BOI,0.0,0.0
2008,12,4,GEG,0.0,0.0
2008,12,4,RNO,0.0,0.0
2008,12,4,BUF,0.0,18.0
2008,12,4,BUR,0.0,0.0
2008,12,4,SJC,0.0,0.0
2008,12,4,SMF,0.0,3.0
2008,12,4,IND,3.0,0.0
2008,12,4,ISP,0.0,10.0
2008,12,4,JAN,0.0,262.0
2008,12,4,LIT,0.0,0.0
2008,12,4,MHT,0.0,0.0
2008,12,4,OKC,0.0,0.0
2008,12,4,PBI,0.0,0.0
2008,12,4,PIT,0.0,28.0
2008,12,4,RSW,0.0,0.0
2008,12,4,CRP,0.0,0.0
2008,12,4,TUL,0.0,0.0
2008,12,4,OMA,0.0,0.0
2008,12,4,SFO,0.0,0.0
2008,12,4,SNA,0.0,0.0
2008,12,4,IAD,0.0,8.0
2008,12,5,ABQ,0.0,0.0
2008,12,5,AMA,0.0,0.0
2008,12,5,BWI,0.0,0.0
2008,12,5,DAL,0.0,0.0
2008,12,5,DEN,0.0,0.0
2008,12,5,ELP,0.0,0.0
2008,12,5,HOU,0.0,0.0
2008,12,5,LAS,0.0,0.0
2008,12,5,LAX,0.0,0.0
2008,12,5,LBB,0.0,0.0
2008,12,5,MAF,0.0,0.0
2008,12,5,MCI,0.0,0.0
2008,12,5,MCO,0.0,0.0
2008,12,5,MDW,0.0,0.0
2008,12,5,OAK,0.0,0.0
2008,12,5,PDX,0.0,0.0
2008,12,5,PHX,0.0,0.0
2008,12,5,SAN,0.0,0.0
2008,12,5,SEA,0.0,0.0
2008,12,5,SLC,0.0,0.0
2008,12,5,STL,0.0,0.0
2008,12,5,TPA,0.0,0.0
2008,12,5,TUS,0.0,0.0
2008,12,5,ALB,0.0,0.0
2008,12,5,FLL,0.0,0.0
