Year,Month,Day,APCode,Snow,Prcp
2008,3,3,BUR,0.0,0.0
2008,3,3,SJC,0.0,0.0
2008,3,3,SMF,0.0,0.0
2008,3,3,BWI,0.0,0.0
2008,3,3,ABQ,3.0,0.0
2008,3,3,ALB,0.0,0.0
2008,3,3,AUS,0.0,119.0
2008,3,3,BDL,0.0,0.0
2008,3,3,BHM,0.0,0.0
2008,3,3,BNA,0.0,234.0
2008,3,3,BUF,0.0,46.0
2008,3,3,CLE,0.0,119.0
2008,3,3,CMH,0.0,58.0
2008,3,3,DEN,5.0,0.0
2008,3,3,DTW,13.0,61.0
2008,3,3,FLL,0.0,25.0
2008,3,3,HOU,0.0,102.0
2008,3,3,IND,0.0,216.0
2008,3,3,ISP,0.0,0.0
2008,3,3,JAN,0.0,338.0
2008,3,3,JAX,0.0,0.0
2008,3,3,LAS,0.0,0.0
2008,3,3,LIT,0.0,516.0
2008,3,3,MCI,0.0,8.0
2008,3,3,MCO,0.0,0.0
2008,3,3,MDW,0.0,81.0
2008,3,3,MHT,0.0,0.0
2008,3,3,MSY,0.0,193.0
2008,3,3,OKC,5.0,3.0
2008,3,3,ORF,0.0,0.0
2008,3,3,PBI,0.0,0.0
2008,3,3,PHX,0.0,0.0
2008,3,3,PIT,0.0,0.0
2008,3,3,PVD,0.0,0.0
2008,3,3,RDU,0.0,0.0
2008,3,3,RSW,0.0,15.0
2008,3,3,SAN,0.0,0.0
2008,3,3,SAT,0.0,28.0
2008,3,3,SDF,0.0,203.0
2008,3,3,SLC,0.0,0.0
2008,3,3,STL,0.0,188.0
2008,3,3,TPA,0.0,0.0
2008,3,3,PHL,0.0,0.0
2008,3,3,CRP,0.0,0.0
2008,3,3,DAL,10.0,320.0
2008,3,3,AMA,25.0,25.0
2008,3,3,ELP,0.0,0.0
2008,3,3,LBB,8.0,8.0
2008,3,3,MAF,0.0,0.0
2008,3,3,TUL,8.0,76.0
2008,3,3,OAK,0.0,0.0
2008,3,3,SEA,0.0,18.0
2008,3,3,LAX,0.0,0.0
2008,3,3,GEG,0.0,0.0
2008,3,3,BOI,0.0,0.0
2008,3,3,PDX,0.0,10.0
2008,3,3,HRL,0.0,0.0
2008,3,3,IAD,0.0,0.0
2008,3,3,OMA,0.0,0.0
2008,3,3,ONT,0.0,0.0
2008,3,3,RNO,0.0,0.0
2008,3,3,SFO,0.0,0.0
2008,3,3,SNA,0.0,0.0
2008,3,3,TUS,0.0,0.0
2008,3,4,ABQ,0.0,0.0
2008,3,4,AMA,0.0,0.0
2008,3,4,BWI,0.0,25.0
2008,3,4,DAL,0.0,0.0
2008,3,4,DEN,0.0,0.0
2008,3,4,ELP,0.0,0.0
2008,3,4,HOU,0.0,0.0
2008,3,4,LAS,0.0,0.0
2008,3,4,LAX,0.0,0.0
2008,3,4,LBB,0.0,0.0
2008,3,4,MAF,0.0,0.0
2008,3,4,MCI,0.0,0.0
2008,3,4,MCO,0.0,15.0
2008,3,4,MDW,0.0,0.0
2008,3,4,OAK,0.0,0.0
2008,3,4,PDX,0.0,3.0
2008,3,4,PHX,0.0,0.0
2008,3,4,SAN,0.0,0.0
2008,3,4,SEA,0.0,0.0
2008,3,4,SLC,0.0,0.0
2008,3,4,STL,254.0,185.0
2008,3,4,TPA,0.0,28.0
2008,3,4,TUS,0.0,0.0
2008,3,4,ALB,0.0,201.0
2008,3,4,AUS,0.0,0.0
2008,3,4,BNA,0.0,69.0
2008,3,4,HRL,0.0,0.0
2008,3,4,BDL,0.0,112.0
2008,3,4,BHM,0.0,295.0
2008,3,4,JAX,0.0,218.0
2008,3,4,MSY,0.0,0.0
2008,3,4,SDF,0.0,340.0
2008,3,4,CLE,38.0,193.0
2008,3,4,CMH,0.0,401.0
2008,3,4,DTW,114.0,102.0
2008,3,4,FLL,0.0,0.0
2008,3,4,ONT,0.0,0.0
2008,3,4,PHL,0.0,8.0
2008,3,4,PVD,0.0,107.0
2008,3,4,RDU,0.0,508.0
2008,3,4,SAT,0.0,0.0
2008,3,4,BOI,0.0,0.0
2008,3,4,GEG,0.0,0.0
2008,3,4,RNO,0.0,0.0
2008,3,4,BUF,10.0,112.0
2008,3,4,BUR,0.0,0.0
2008,3,4,SJC,0.0,0.0
2008,3,4,SMF,0.0,0.0
2008,3,4,IND,28.0,246.0
2008,3,4,ISP,0.0,8.0
2008,3,4,JAN,0.0,3.0
2008,3,4,LIT,25.0,25.0
2008,3,4,MHT,0.0,112.0
2008,3,4,OKC,0.0,0.0
2008,3,4,ORF,0.0,0.0
2008,3,4,PBI,0.0,84.0
2008,3,4,PIT,0.0,290.0
2008,3,4,RSW,0.0,0.0
2008,3,4,CRP,0.0,0.0
2008,3,4,TUL,0.0,0.0
2008,3,4,IAD,0.0,127.0
2008,3,4,OMA,0.0,0.0
2008,3,4,SFO,0.0,0.0
2008,3,4,SNA,0.0,0.0
2008,3,5,ABQ,0.0,0.0
2008,3,5,AMA,0.0,0.0
2008,3,5,BWI,0.0,76.0
2008,3,5,DAL,0.0,0.0
2008,3,5,DEN,10.0,3.0
2008,3,5,ELP,0.0,0.0
2008,3,5,HOU,0.0,0.0
2008,3,5,LAS,0.0,0.0
2008,3,5,LAX,0.0,0.0
2008,3,5,LBB,0.0,0.0
2008,3,5,MAF,0.0,0.0
2008,3,5,MCI,0.0,0.0
2008,3,5,MCO,0.0,0.0
2008,3,5,MDW,0.0,0.0
2008,3,5,OAK,0.0,0.0
2008,3,5,PDX,0.0,0.0
2008,3,5,PHX,0.0,0.0
2008,3,5,SAN,0.0,0.0
2008,3,5,SEA,0.0,0.0
2008,3,5,SLC,0.0,0.0
2008,3,5,STL,0.0,0.0
2008,3,5,TPA,0.0,0.0
2008,3,5,TUS,0.0,0.0
2008,3,5,ALB,0.0,442.0
2008,3,5,AUS,0.0,0.0
2008,3,5,BNA,0.0,0.0
2008,3,5,HRL,0.0,0.0
2008,3,5,BDL,0.0,229.0
2008,3,5,BHM,0.0,0.0
2008,3,5,JAX,0.0,0.0
2008,3,5,MSY,0.0,0.0
2008,3,5,SDF,0.0,3.0
2008,3,5,CLE,74.0,53.0
2008,3,5,CMH,18.0,18.0
2008,3,5,DTW,76.0,79.0
2008,3,5,FLL,0.0,43.0
2008,3,5,ONT,0.0,0.0
2008,3,5,PHL,0.0,140.0
2008,3,5,PVD,0.0,81.0
2008,3,5,RDU,0.0,0.0
2008,3,5,SAT,0.0,0.0
2008,3,5,BOI,0.0,0.0
2008,3,5,GEG,0.0,0.0
2008,3,5,RNO,0.0,0.0
2008,3,5,BUF,43.0,99.0
2008,3,5,BUR,0.0,0.0
2008,3,5,SJC,0.0,0.0
2008,3,5,SMF,0.0,0.0
2008,3,5,IND,3.0,0.0
2008,3,5,ISP,0.0,66.0
2008,3,5,JAN,0.0,0.0
2008,3,5,LIT,0.0,0.0
2008,3,5,MHT,0.0,114.0
2008,3,5,OKC,0.0,0.0
2008,3,5,ORF,0.0,417.0
2008,3,5,PBI,0.0,216.0
2008,3,5,PIT,0.0,3.0
2008,3,5,RSW,0.0,23.0
2008,3,5,CRP,0.0,0.0
2008,3,5,TUL,0.0,0.0
2008,3,5,IAD,0.0,109.0
2008,3,5,OMA,0.0,0.0
2008,3,5,SFO,0.0,0.0
2008,3,5,SNA,0.0,0.0
2008,3,6,ABQ,0.0,0.0
2008,3,6,AMA,51.0,33.0
2008,3,6,BWI,0.0,0.0
2008,3,6,DAL,0.0,244.0
2008,3,6,DEN,0.0,0.0
2008,3,6,ELP,0.0,0.0
2008,3,6,HOU,0.0,272.0
2008,3,6,LAS,0.0,0.0
2008,3,6,LAX,0.0,0.0
2008,3,6,LBB,15.0,15.0
2008,3,6,MAF,0.0,0.0
2008,3,6,MCI,0.0,0.0
2008,3,6,MCO,0.0,422.0
2008,3,6,MDW,0.0,0.0
2008,3,6,OAK,0.0,0.0
2008,3,6,PDX,0.0,0.0
2008,3,6,PHX,0.0,0.0
2008,3,6,SAN,0.0,0.0
2008,3,6,SEA,0.0,3.0
2008,3,6,SLC,0.0,0.0
2008,3,6,STL,0.0,0.0
2008,3,6,TPA,0.0,10.0
2008,3,6,TUS,0.0,0.0
2008,3,6,ALB,0.0,0.0
2008,3,6,AUS,0.0,23.0
2008,3,6,BNA,0.0,0.0
2008,3,6,HRL,0.0,0.0
2008,3,6,BDL,0.0,0.0
2008,3,6,BHM,0.0,0.0
2008,3,6,JAX,0.0,5.0
2008,3,6,MSY,0.0,109.0
2008,3,6,SDF,0.0,0.0
2008,3,6,CLE,0.0,0.0
2008,3,6,CMH,0.0,0.0
2008,3,6,DTW,0.0,0.0
2008,3,6,FLL,0.0,848.0
2008,3,6,ONT,0.0,0.0
2008,3,6,PHL,0.0,0.0
2008,3,6,PVD,0.0,0.0
2008,3,6,RDU,0.0,0.0
2008,3,6,SAT,0.0,107.0
2008,3,6,BOI,0.0,0.0
2008,3,6,GEG,0.0,0.0
2008,3,6,RNO,0.0,0.0
2008,3,6,BUF,0.0,0.0
2008,3,6,BUR,0.0,0.0
2008,3,6,SJC,0.0,0.0
2008,3,6,SMF,0.0,0.0
2008,3,6,IND,0.0,0.0
2008,3,6,ISP,0.0,0.0
2008,3,6,JAN,0.0,0.0
2008,3,6,LIT,5.0,20.0
2008,3,6,MHT,0.0,0.0
2008,3,6,OKC,0.0,0.0
2008,3,6,ORF,0.0,0.0
2008,3,6,PBI,0.0,739.0
2008,3,6,PIT,0.0,0.0
2008,3,6,RSW,0.0,0.0
2008,3,6,CRP,0.0,295.0
2008,3,6,TUL,0.0,0.0
2008,3,6,IAD,0.0,0.0
2008,3,6,OMA,0.0,0.0
2008,3,6,SFO,0.0,0.0
2008,3,6,SNA,0.0,0.0
2008,3,7,ABQ,0.0,0.0
2008,3,7,AMA,0.0,0.0
2008,3,7,BWI,0.0,198.0
2008,3,7,DAL,0.0,0.0
2008,3,7,DEN,0.0,0.0
2008,3,7,ELP,0.0,0.0
2008,3,7,HOU,0.0,0.0
2008,3,7,LAS,0.0,0.0
2008,3,7,LAX,0.0,0.0
2008,3,7,LBB,0.0,0.0
2008,3,7,MAF,0.0,0.0
2008,3,7,MCI,15.0,5.0
2008,3,7,MCO,0.0,396.0
2008,3,7,MDW,0.0,0.0
2008,3,7,OAK,0.0,0.0
2008,3,7,PDX,0.0,84.0
2008,3,7,PHX,0.0,0.0
2008,3,7,SAN,0.0,0.0
2008,3,7,SEA,0.0,5.0
2008,3,7,SLC,0.0,0.0
2008,3,7,STL,0.0,0.0
2008,3,7,TPA,0.0,295.0
2008,3,7,TUS,0.0,0.0
2008,3,7,ALB,0.0,114.0
2008,3,7,AUS,0.0,0.0
2008,3,7,BNA,18.0,145.0
2008,3,7,HRL,0.0,0.0
2008,3,7,BDL,0.0,157.0
2008,3,7,BHM,0.0,246.0
2008,3,7,JAX,0.0,351.0
2008,3,7,MSY,0.0,48.0
2008,3,7,SDF,109.0,66.0
2008,3,7,CLE,102.0,56.0
2008,3,7,CMH,127.0,51.0
2008,3,7,DTW,3.0,0.0
2008,3,7,FLL,0.0,0.0
2008,3,7,ONT,0.0,0.0
2008,3,7,PHL,0.0,137.0
