Year,Month,Day,APCode,Snow,Prcp
2008,10,3,HOU,0.0,0.0
2008,10,3,DEN,0.0,0.0
2008,10,3,ELP,0.0,0.0
2008,10,3,FLL,0.0,0.0
2008,10,3,HRL,0.0,0.0
2008,10,3,JAN,0.0,0.0
2008,10,3,JAX,0.0,0.0
2008,10,3,LAS,0.0,0.0
2008,10,3,LAX,0.0,0.0
2008,10,3,LIT,0.0,0.0
2008,10,3,MAF,0.0,0.0
2008,10,3,MCO,0.0,0.0
2008,10,3,MDW,0.0,3.0
2008,10,3,MSY,0.0,0.0
2008,10,3,OAK,0.0,56.0
2008,10,3,OKC,0.0,8.0
2008,10,3,PHL,0.0,0.0
2008,10,3,PHX,0.0,0.0
2008,10,3,SAN,0.0,0.0
2008,10,3,SAT,0.0,0.0
2008,10,3,STL,0.0,0.0
2008,10,3,TPA,0.0,0.0
2008,10,3,TUL,0.0,0.0
2008,10,3,AUS,0.0,0.0
2008,10,3,IAD,0.0,0.0
2008,10,3,IND,0.0,0.0
2008,10,3,BWI,0.0,0.0
2008,10,3,MCI,0.0,0.0
2008,10,3,ISP,0.0,0.0
2008,10,3,PBI,0.0,0.0
2008,10,3,RSW,0.0,0.0
2008,10,3,BHM,0.0,0.0
2008,10,3,BNA,0.0,0.0
2008,10,3,ORF,0.0,0.0
2008,10,3,ABQ,0.0,0.0
2008,10,3,ALB,0.0,5.0
2008,10,3,AMA,0.0,0.0
2008,10,3,BDL,0.0,0.0
2008,10,3,BOI,0.0,10.0
2008,10,3,BUF,0.0,3.0
2008,10,3,BUR,0.0,0.0
2008,10,3,CLE,0.0,25.0
2008,10,3,CMH,0.0,0.0
2008,10,3,GEG,0.0,23.0
2008,10,3,LBB,0.0,0.0
2008,10,3,MHT,0.0,0.0
2008,10,3,OMA,0.0,0.0
2008,10,3,ONT,0.0,0.0
2008,10,3,PDX,0.0,89.0
2008,10,3,PIT,0.0,3.0
2008,10,3,PVD,0.0,0.0
2008,10,3,RDU,0.0,0.0
2008,10,3,RNO,0.0,0.0
2008,10,3,SDF,0.0,0.0
2008,10,3,SEA,0.0,145.0
2008,10,3,SFO,0.0,30.0
2008,10,3,SJC,0.0,0.0
2008,10,3,SLC,0.0,0.0
2008,10,3,SMF,0.0,20.0
2008,10,3,SNA,0.0,0.0
2008,10,3,TUS,0.0,0.0
2008,10,3,DAL,0.0,0.0
2008,10,3,DTW,0.0,3.0
2008,10,4,ABQ,0.0,119.0
2008,10,4,AMA,0.0,51.0
2008,10,4,BWI,0.0,0.0
2008,10,4,DAL,0.0,0.0
2008,10,4,DEN,0.0,0.0
2008,10,4,ELP,0.0,0.0
2008,10,4,HOU,0.0,0.0
2008,10,4,LAS,0.0,3.0
2008,10,4,LAX,0.0,0.0
2008,10,4,LBB,0.0,5.0
2008,10,4,MAF,0.0,0.0
2008,10,4,MCI,0.0,0.0
2008,10,4,MCO,0.0,0.0
2008,10,4,MDW,0.0,0.0
2008,10,4,OAK,0.0,25.0
2008,10,4,PDX,0.0,127.0
2008,10,4,PHX,0.0,0.0
2008,10,4,SAN,0.0,46.0
2008,10,4,SEA,0.0,18.0
2008,10,4,SLC,0.0,175.0
2008,10,4,STL,0.0,0.0
2008,10,4,TPA,0.0,0.0
2008,10,4,TUS,0.0,0.0
2008,10,4,ALB,0.0,0.0
2008,10,4,AUS,0.0,0.0
2008,10,4,BNA,0.0,0.0
2008,10,4,FLL,0.0,927.0
2008,10,4,HRL,0.0,0.0
2008,10,4,PHL,0.0,0.0
2008,10,4,BDL,0.0,0.0
2008,10,4,BHM,0.0,0.0
2008,10,4,JAX,0.0,0.0
2008,10,4,MSY,0.0,0.0
2008,10,4,SDF,0.0,0.0
2008,10,4,CLE,0.0,0.0
2008,10,4,CMH,0.0,3.0
2008,10,4,DTW,0.0,0.0
2008,10,4,ONT,0.0,0.0
2008,10,4,ORF,0.0,0.0
2008,10,4,PVD,0.0,0.0
2008,10,4,RDU,0.0,0.0
