Year,Month,Day,APCode,Snow,Prcp
2008,8,2,PHX,0.0,0.0
2008,8,2,MCI,0.0,0.0
2008,8,2,MCO,0.0,0.0
2008,8,2,MDW,0.0,0.0
2008,8,2,MHT,0.0,48.0
2008,8,2,MSY,0.0,0.0
2008,8,2,OAK,0.0,0.0
2008,8,2,OKC,0.0,0.0
2008,8,2,OMA,0.0,0.0
2008,8,2,ONT,0.0,0.0
2008,8,2,PDX,0.0,0.0
2008,8,2,PHL,0.0,10.0
2008,8,2,PIT,0.0,0.0
2008,8,2,PVD,0.0,36.0
2008,8,2,RDU,0.0,25.0
2008,8,2,RNO,0.0,0.0
2008,8,2,SAN,0.0,0.0
2008,8,2,SAT,0.0,0.0
2008,8,2,SDF,0.0,0.0
2008,8,2,SEA,0.0,0.0
2008,8,2,SFO,0.0,0.0
2008,8,2,SJC,0.0,0.0
2008,8,2,SLC,0.0,0.0
2008,8,2,SMF,0.0,0.0
2008,8,2,SNA,0.0,0.0
2008,8,2,STL,0.0,0.0
2008,8,2,TPA,0.0,0.0
2008,8,2,TUL,0.0,0.0
2008,8,2,BWI,0.0,135.0
2008,8,2,LAS,0.0,0.0
2008,8,2,BNA,0.0,0.0
2008,8,2,FLL,0.0,0.0
2008,8,2,DEN,0.0,0.0
2008,8,2,BOI,0.0,0.0
2008,8,2,LAX,0.0,0.0
2008,8,2,RSW,0.0,0.0
2008,8,2,ISP,0.0,25.0
2008,8,2,ABQ,0.0,0.0
2008,8,2,AUS,0.0,0.0
2008,8,2,ELP,0.0,3.0
2008,8,2,HOU,0.0,0.0
2008,8,2,TUS,0.0,0.0
2008,8,2,DAL,0.0,0.0
2008,8,2,HRL,0.0,0.0
2008,8,2,BHM,0.0,0.0
2008,8,2,GEG,0.0,0.0
2008,8,2,BUR,0.0,0.0
2008,8,2,CLE,0.0,5.0
2008,8,2,CMH,0.0,0.0
2008,8,2,DTW,0.0,0.0
2008,8,2,LIT,0.0,0.0
2008,8,2,ALB,0.0,94.0
2008,8,2,BDL,0.0,124.0
2008,8,2,BUF,0.0,53.0
2008,8,2,IAD,0.0,20.0
2008,8,2,IND,0.0,0.0
2008,8,2,JAX,0.0,0.0
2008,8,2,ORF,0.0,0.0
2008,8,2,PBI,0.0,20.0
2008,8,3,ABQ,0.0,3.0
2008,8,3,AMA,0.0,0.0
2008,8,3,BWI,0.0,0.0
2008,8,3,DAL,0.0,0.0
2008,8,3,DEN,0.0,0.0
2008,8,3,ELP,0.0,0.0
2008,8,3,HOU,0.0,38.0
2008,8,3,LAS,0.0,0.0
